Product Name,Keywords,Units,In Stock,Price
A-ferin 1mg-160mg-5ml Paediatric,Aferin,14,Available in stock,400
A-ferin Forte 650mg-4mg Tablet,Aferin,18,Available in stock,350
A-ferin Plus 1mg-15mg-160mg-5ml,Aferin,0,Out of stock,500
A-ferin Sinus 500mg30mg-1.25mg Tablet,Aferin,46,Available in stock,500
A2a Spacer Universal,Spacer,0,Out of stock,"2,000.00"
Aad K 600mg,Aad K,0,Out of stock,150
Abidec Multivitamin Drops,Abidec,13,Available in stock,975
Abidec Multivitamin Syrup With Omega 1-5 Years,Abidec,0,Out of stock,950
Able Spacer,Able Spacer,2,Available in stock,"4,500.00"
Absorbent Cotton Wool 100g,Absorbent Cotton Wool,25,Available in stock,100
Absorbent Cotton Wool 50g,Absorbent Cotton Wool,0,Out of stock,50
Accu-check Safe-t-pro Plus Sterile,Accu-check ; Accucheck ; Accu check,40,Available in stock,50
Accu-chek Active Meter,Accu-check ; Accucheck ; Accu check,0,Out of stock,"2,500.00"
Accu-chek Active Test Strips,Accu-check ; Accucheck ; Accu check,58,Available in stock,"1,450.00"
Accu-chek Aviva Strips,Accu-check ; Accucheck ; Accu check,2,Available in stock,"2,350.00"
Accu-chek Fastclix 204 Lancets,Accu-check ; Accucheck ; Accu check,180,Available in stock,50
Accu-chek Safe-t-pro Uno Sterile Single Use Lancing Devices,Accu-check ; Accucheck ; Accu check,35,Available in stock,25
accu-chek softclix lancets 200,Accu-check ; Accucheck ; Accu check,16,Available in stock,10
Accu-chek Sterile Lancets,Accu-check ; Accucheck ; Accu check,26,Available in stock,15
Acepiro (acetylcsteine) Effervescent Tablets 30tabs,Acepiro ; Acetylcsteine,0,Out of stock,900
Acetazolamide,Acetazolamide,370,Available in stock,150
Aciclovir 5pct W-w Cream,Aciclovir,20,Available in stock,"1,500.00"
Acm Molutrex 3ml,Molutrex,0,Out of stock,"3,750.00"
Acnecide (benzoyl Peroxide) Gel 5pct,Acnecide ; benzoyl Peroxide,0,Out of stock,"1,400.00"
Acnecide Face 5pct Benoyl Peroxide,Acnecide ; benzoyl Peroxide,0,Out of stock,"1,000.00"
Acnelyse (tretinoin) Cream 0.05pct,Acnelyse,0,Out of stock,"1,800.00"
Acnevit Anti-acne Cleansing Gel,Acnevit ; Anti-acne; Anti acne ; acne,19,Available in stock,750
Acoustica Stethoscope Mdf,Acoustica; Stethoscope,1,Available in stock,"4,500.00"
Actifed Multi-action Dry Cough 100ml,Actifed; Cough,4,Available in stock,850
Actimove Genu Eco Knee Small,Actimove; Knee,0,Out of stock,"4,500.00"
Actimove Thumbstabilizer,Actimove ; Thumbstabilizer,0,Out of stock,"3,000.00"
Actimove Umerus Shoulder Immobiliser,Actimove ; Shoulder,0,Out of stock,"3,200.00"
Activated Charcoal Nose Pore Strip,Activated; Pore,3,Available in stock,350
Acufix 0.4pct Ketorolac Trometamol 5ml,Acufix; Trometamol,1,Available in stock,500
Acular (ketrolac Trometamol) Eye Drops,Acular; Eye,23,Available in stock,750
Acular Eye Drops 0.5pct W-v,Acular; W,4,Available in stock,600
acyclovir denk 25 tabs,acyclovir; denk,294,Available in stock,150
Acyclovir Denk 5pct Cream,Acyclovir; pct,3,Available in stock,600
Adaflex (melatonin) 2mg,Adaflex; melatonin,0,Out of stock,"2,200.00"
Adenuric 80mg Febuxosat 28 Tabs,Adenuric; Febuxosat,11,Available in stock,"2,000.00"
Adjustable Aluminum Folding Cane,Adjustable; Folding,0,Out of stock,"4,000.00"
Adjustable Finger Splint,Adjustable; Finger,0,Out of stock,"1,500.00"
Adjustable Luggage Strap,Adjustable; Luggage,2,Available in stock,100
Adrenaline Osel Injection 1mg,Adrenaline; Injection,20,Available in stock,75
Air Cushion,Air; Air,1,Available in stock,600
Aklav Bid 200mg-28.5mg Augmentin Susp.,Aklav; Augmentin,0,Out of stock,350
Aknemycin Plus 4.0pct N 0.025pct W-w Cutaneous Solution,Aknemycin; Cutaneous,10,Available in stock,"1,750.00"
Aksef 500mg Cefuroxime 10 Tabs,Aksef; Cefuroxime,22,Available in stock,800
Albendazole 200mg-5ml Suspension,Albendazole; ml,3,Available in stock,75
Albendazole 400mg Tablets 2s,Albendazole; Tablets,20,Available in stock,75
Albuterol Salbutamol Tablets 4mg 100 Tabs,Albuterol; mg,386,Available in stock,25
Albuterol Sulfate Inhalation Solution,Albuterol; Inhalation,0,Out of stock,200
Albuterol Sulfate Inhalation Solution 2.5mg/3ml,Albuterol; mg,0,Out of stock,35
Albuterol Tablets Usp 2mg,Albuterol; Usp,827,Available in stock,25
Alcohol Disinfectant 75pct,Alcohol; Disinfectant,26,Available in stock,150
Alcohol Swabs,Alcohol; Alcohol,616,Available in stock,5
Alendronic Acid 70mg,Alendronic; Acid,14,Available in stock,400
Alfacaless (alfacalcidol) Capsules 0.25mcg,Alfacaless; Capsules,11,Available in stock,300
Alfacaless Alfacalcidol Capsules 1mcg,Alfacaless; Capsules,11,Available in stock,500
Alfamet 250mg Methyldopa Tabs,Alfamet; Methyldopa,31,Available in stock,20
Alfuzosin Hcl 2.5mg 60 Tabs,Alfuzosin; mg,0,Out of stock,600
Allergy And Hayfever Relief (loratadine) 10mg,Allergy; loratadine,2,Available in stock,300
Allergy Tablets Chorphenaramine Maleate 4mg,Allergy; Maleate,0,Out of stock,300
Allopurinol 100mg,Allopurinol; Allopurinol,21,Available in stock,150
Allopurinol 100mg Tablets,Allopurinol; mg,43,Available in stock,250
Allopurinol 300mg Tablets,Allopurinol; mg,0,Out of stock,300
Allopurinol Tablets 300mg,Allopurinol; Tablets,0,Out of stock,300
alprostadil 20mg powder for solution,alprostadil; for,1,Available in stock,"3,750.00"
Alvita Pregnancy Test,Alvita; Pregnancy,16,Available in stock,500
Always Classic Night 8pads,Always; Night,0,Out of stock,200
Always Daily Fresh Scent Pantyliners,Always; Scent,11,Available in stock,200
Am n Pm Pill Box,Am; Pill,0,Out of stock,250
Amantadine 100mg,Amantadine; Amantadine,0,Out of stock,"1,700.00"
Amantadine Hydrochloride 100mg,Amantadine; Hydrochloride,0,Out of stock,"1,700.00"
Amiodarone Hydrochloride 100mg 28tablets,Amiodarone; mg,0,Out of stock,400
Amiodarone Hydrochloride Tablets 200mg,Amiodarone; Tablets,12,Available in stock,300
Amitriptyline 25mg,Amitriptyline; Amitriptyline,0,Out of stock,200
Amitriptyline Tablets 10mg,Amitriptyline; Tablets,1,Available in stock,200
amitriptyline tablets 10mg (28 tabs),amitriptyline; mg,7,Available in stock,150
amitriptyline tablets 25mg,amitriptyline; tablets,34,Available in stock,200
Amitriptyline Tablets 25mg X,Amitriptyline; mg,0,Out of stock,0
Amitriptyline Tablets 50mg,Amitriptyline; Tablets,15,Available in stock,250
amlo-denk 10 (amlodipine),amlo; denk,55,Available in stock,0
Amlo-denk 5 (amlodipine),Amlo; denk,96,Available in stock,100
Amlodipine 10mg 28tablets,Amlodipine; mg,5,Available in stock,450
amlodipine tablets 10mg,amlodipine; tablets,13,Available in stock,450
Amlodipine Tablets 5mg,Amlodipine; Tablets,0,Out of stock,250
amlodipine tablets 5mg,amlodipine; tablets,35,Available in stock,250
Amlodipine Tablets 5mg X,Amlodipine; mg,2,Available in stock,250
Amoklavin-bid 400/57mg Oral Suspension,Amoklavin; Oral,0,Out of stock,600
Amolavin-bid Co-amoxiclav Suspension 400mg/57mg,Amolavin; mg,0,Out of stock,550
amorolfine 5pct w/v nail lacquer 5ml,amorolfine; lacquer,16,Available in stock,"1,250.00"
Amoxi-denk 1000,Amoxi; Amoxi,33,Available in stock,550
Amoxi-denk 500 Amoxicillin 20 Tabs,Amoxi; Amoxicillin,62,Available in stock,550
amoxicillin 125mg/5ml powder 100ml,amoxicillin; powder,0,Out of stock,350
Amoxicillin 125mg/5ml Suspension,Amoxicillin; ml,15,Available in stock,350
Amoxicillin And Clavunate Potassium Tablets 875/125mg,Amoxicillin; Tablets,0,Out of stock,850
Amoxicillin Capsules 250mg,Amoxicillin; Capsules,0,Out of stock,250
Amoxicillin Capsules 500mg,Amoxicillin; Capsules,37,Available in stock,300
Amoxicillin Capsules 500mg X,Amoxicillin; mg,3,Available in stock,250
Amoxicillin Clavulanate Potassium 600mg/42.9mg/5ml,Amoxicillin; mg,0,Out of stock,900
Amoxicillin Clavulanic Acid 250/62.5mg Susp.,Amoxicillin; mg,0,Out of stock,600
Amoxicillin Powder 250mg/5ml,Amoxicillin; mg,0,Out of stock,500
Amoxicillin Sugar Free Suspension 250mg/5ml,Amoxicillin; mg,2,Available in stock,350
Amoxicillin Suspension 125mg/5ml,Amoxicillin; mg,0,Out of stock,350
Amoxicillin/clavulanic Acid Basi 500/125mg,Amoxicillin; Basi,0,Out of stock,650
Amoxiclav-denk 1000/125mg,Amoxiclav; denk,19,Available in stock,850
amoxiclav-denk 500-62.5,amoxiclav; amoxiclav,35,Available in stock,650
Ampiciline Injection 1g:7ml 50amps,Ampiciline; ml,21,Available in stock,75
Ampiclox 500mg 10x10,Ampiclox; mg,52,Available in stock,60
ampiclox capsules 250mg/250mg,ampiclox; mg,44,Available in stock,75
Amva Denk 10-160 Mg,Amva; Denk,22,Available in stock,"1,650.00"
Amva-denk 5-160mg (amlodipine Valsartan),Amva; amlodipine,0,Out of stock,"1,350.00"
Amva-denk 5-80mg (amlodipine) Vassartan,Amva; amlodipine,14,Available in stock,"1,350.00"
Anastrozole Tablets 1mg,Anastrozole; Tablets,9,Available in stock,375
andazol albendazole 400mg 3tabs,andazol; mg,105,Available in stock,600
andazol suspension 200mg/10ml,andazol; mg,17,Available in stock,600
Angitil Sr Capsules 90mg,Angitil; Capsules,1,Available in stock,"1,200.00"
aniblink hypromellose ophthalmic solution 0.3 w/v,aniblink; w,20,Available in stock,125
Anicipro Ciprofloxacin Infusion 0.2pct,Anicipro; Infusion,0,Out of stock,150
Aniclav Co-amoxiclav Iv 1000mg/200mg,Aniclav; mg,7,Available in stock,150
aniclon-bl ear drops,aniclon; ear,8,Available in stock,150
Anifentrine Suspension 180mg/1080mg/60ml,Anifentrine; mg,10,Available in stock,150
animycin cream 0.5pct neomycin,animycin; pct,0,Out of stock,100
Ankle Support (medium/large),Ankle; medium,0,Out of stock,750
Antepsin 1g/5ml Suspension,Antepsin; ml,0,Out of stock,900
Anthisan Bite And Sting 2pctw/w Cream 20g,Anthisan; Cream,1,Available in stock,750
Anthisan(mepyramine Maleate) Cream,Anthisan; Maleate,23,Available in stock,750
Anti-blister Stick,Anti; blister,0,Out of stock,300
Anti-embolism Stocks 25-32 Xxl,Anti; Stocks,1,Available in stock,"4,500.00"
Anti-skab Permethrin 5pct 30g,Anti; pct,0,Out of stock,550
Antiseptic Cleansing Spray,Antiseptic; Cleansing,0,Out of stock,600
anusol ointment 3 way action,anusol; way,0,Out of stock,750
Anusol Plus Hc Ointment,Anusol; Hc,1,Available in stock,750
Anusol Suppositories,Anusol; Anusol,28,Available in stock,750
Apfecto Nepafenac 0.1pct Eye Drop 5ml,Apfecto; Drop,15,Available in stock,650
Apikobal 250mg-250mg-1mg Tablets,Apikobal; mg,0,Out of stock,500
aptamil breast milk 2 6-12 months,aptamil; milk,0,Out of stock,"1,950.00"
aptamil breastmilk substitute 1,aptamil; breastmilk,0,Out of stock,"1,950.00"
Aquafresh Active Fresh 100ml,Aquafresh; Fresh,0,Out of stock,225
Aquafresh Active White Toothpaste,Aquafresh; White,2,Available in stock,250
Aquafresh Milk Teeth 0-2 Yrs,Aquafresh; Teeth,2,Available in stock,250
Aquafresh Triple Protection 100ml,Aquafresh; Protection,0,Out of stock,175
aquamax wash 250g,aquamax; wash,9,Available in stock,650
Aqueous Cream 100ml X,Aqueous; ml,0,Out of stock,100
Aripiprazole Tablets 15mg,Aripiprazole; Tablets,4,Available in stock,450
Arnica Cream 50ml,Arnica; Cream,16,Available in stock,450
arnicare arnica cream,arnicare; arnica,7,Available in stock,600
Arovi (enoxaparin Sodium) Solution 40mg/0.4ml,Arovi; mg,2,Available in stock,650
Artane Trihexyphenidyl Hydrochloride 5mg,Artane; Hydrochloride,0,Out of stock,25
Artemex-l Forte 80mg-480mg,Artemex; mg,0,Out of stock,200
Artesunate Injection 120mg,Artesunate; Injection,0,Out of stock,125
artesyn artesunate injection 60mg,artesyn; injection,16,Available in stock,100
Asetilsistein 300mg/3ml Injection,Asetilsistein; ml,10,Available in stock,100
asirax 250mg aciclovir inj.,asirax; aciclovir,0,Out of stock,400
Asiviral 5 Cream Acyclovir,Asiviral; Cream,0,Out of stock,500
Aspirin 75mg Gastro-resistant Tabs 75mg 18tabs,Aspirin; mg,0,Out of stock,150
aspirin 75mg tablets,aspirin; mg,0,Out of stock,150
Aspirin 81mg,Aspirin; Aspirin,3,Available in stock,400
Aspirin Tablets 75mg,Aspirin; Tablets,17,Available in stock,200
Aspirin Tablets 75mg,Aspirin; Tablets,0,Out of stock,150
Aspirin Tablets 81mg 300tabss,Aspirin; mg,0,Out of stock,800
Assorted Nail Brush Bassket,Assorted; Brush,5,Available in stock,200
Astosal 2.5mg-2.5ml Salbutamol Nebulizing Solution,Astosal; Nebulizing,36,Available in stock,150
Asu-denk Fixed Dose 3tabs,Asu; Dose,26,Available in stock,600
atenolol denk 50 atenolol (100 tabs),atenolol; atenolol,171,Available in stock,100
Athena Cotton Pads,Athena; Cotton,1,Available in stock,200
Athena Cotton Wool Balls,Athena; Wool,0,Out of stock,200
Atorvastatin Tablets 10mg,Atorvastatin; Tablets,10,Available in stock,250
Atorvastatin 10mg Film-coated Tablets,Atorvastatin; coated,20,Available in stock,250
atorvastatin 20mg film-coated,atorvastatin; film,6,Available in stock,0
Atorvastatin 20mg Film-coated Tablets,Atorvastatin; coated,8,Available in stock,450
Atorvastatin 40mg Film-coated Tablets,Atorvastatin; coated,10,Available in stock,500
Atorvastatin Tablets 20mg,Atorvastatin; Tablets,4,Available in stock,450
Atovaquone-proguanil Hydrochloride 250mg/100mg,Atovaquone; mg,4,Available in stock,250
Atovaquone-proguanil Hydrochloride Tabs 250mg/100mg,Atovaquone; mg,56,Available in stock,250
Atropine Eye Drops 1.0 W-v,Atropine; W,0,Out of stock,"1,650.00"
"Atropine Eye Drops, Solution 1pct W/v",Atropine; W,0,Out of stock,"1,650.00"
Atropine Sulfate Injection 1mg/1ml,Atropine; mg,6,Available in stock,135
Atrovent 250mg 1ml Udvs Ipratropium Bromide,Atrovent; Ipratropium,16,Available in stock,500
Atrovent N Inhaler 20mcg,Atrovent; Inhaler,7,Available in stock,800
atrovent udv ipratropium 500mcg/2ml,atrovent; mcg,0,Out of stock,600
Augmentin 250-62-5ml Suspension 100ml,Augmentin; Suspension,12,Available in stock,900
augmentin 875mg 125mg tablet,augmentin; mg,14,Available in stock,600
Augmentin Suspension 125 31,Augmentin; Augmentin,10,Available in stock,900
Automatic Blood Pressure Monitor Upper Arm,Automatic; Upper,0,Out of stock,"4,800.00"
Aveeno Baby Daily Care 150ml,Aveeno; Care,17,Available in stock,800
Aveeno Baby Daily Care Bath And Wash,Aveeno; And,1,Available in stock,600
Aveeno Baby Hair And Body Wash 250ml,Aveeno; Wash,12,Available in stock,800
Aveeno Baby Lotion 523ml,Aveeno; Lotion,0,Out of stock,"1,950.00"
Aveeno Baby Wash And Shampoo 523ml,Aveeno; Shampoo,0,Out of stock,"1,500.00"
Aveeno Baby Wipes 72wps,Aveeno; Wipes,0,Out of stock,275
Aveeno Cream,Aveeno; Aveeno,0,Out of stock,850
Aveeno Daily Moisturising Body Wash 500ml,Aveeno; Wash,0,Out of stock,"1,300.00"
Aveeno Daily Moisturizing Body Lotion,Aveeno; Body,0,Out of stock,700
Aveeno Daily Moisturizing Body Lotion 523ml,Aveeno; Lotion,8,Available in stock,"1,300.00"
Aveeno Daily Moisturizing Body Lotion 709ml,Aveeno; Lotion,0,Out of stock,"1,300.00"
Avoca Caustic Applicator 75pct Silver Nitrate,Avoca; Silver,0,Out of stock,200
Avoca Caustic Pencil 40pct Silver Nitrate,Avoca; Silver,0,Out of stock,750
Axaban-denk 5mg Apixaban 60tablets,Axaban; Apixaban,0,Out of stock,"4,000.00"
Axaban-denk Apixaban 2.5mg,Axaban; Apixaban,21,Available in stock,"3,000.00"
Axaban-denk Apixaban 5mg,Axaban; Apixaban,7,Available in stock,"4,000.00"
Axe Black Nonstop Fresh Deodorant Spray,Axe; Deodorant,10,Available in stock,225
Axe Deo Dark Temptation 150ml,Axe; Temptation,3,Available in stock,225
Azathioprine Tablets 25mg,Azathioprine; Tablets,19,Available in stock,300
Azelderm (azelaic Acid) 20pct,Azelderm; Acid,0,Out of stock,"1,400.00"
azithromycin 500mg tablets,azithromycin; mg,16,Available in stock,650
Azithromycin Powder 200mg/5ml,Azithromycin; mg,14,Available in stock,850
azithromycin tablets 500mg,azithromycin; tablets,10,Available in stock,650
Azopt Mleye Drops Brinzolamide 5ml,Azopt; Brinzolamide,0,Out of stock,"1,000.00"
